,V1,V2
1,DB00795,DB00158
2,DB00564,DB00158
3,DB00213,DB00158
4,DB00448,DB00158
5,DB00921,DB00158
6,DB01234,DB00158
7,DB01254,DB00158
8,DB01645,DB00158
9,DB08864,DB00158
10,DB08881,DB00158
11,DB08901,DB00158
12,DB09061,DB00158
13,DB11581,DB00158
14,DB11633,DB00158
15,DB11817,DB00158
16,DB11995,DB00158
17,DB12010,DB00158
18,DB12026,DB00158
19,DB12070,DB00158
20,DB13874,DB00158
21,DB13879,DB00158
22,DB13952,DB00158
23,DB12500,DB00158
24,DB00201,DB00158
25,DB15822,DB00158
26,DB00655,DB00158
27,DB00845,DB00158
28,DB00244,DB00158
29,DB00282,DB00158
30,DB00328,DB00158
31,DB00456,DB00158
32,DB00461,DB00158
33,DB00482,DB00158
34,DB00586,DB00158
35,DB00742,DB00158
36,DB00749,DB00158
37,DB00814,DB00158
38,DB00864,DB00158
39,DB00923,DB00158
40,DB00945,DB00158
41,DB01050,DB00158
42,DB01250,DB00158
43,DB01329,DB00158
44,DB01331,DB00158
45,DB01399,DB00158
46,DB01424,DB00158
47,DB01600,DB00158
48,DB04743,DB00158
49,DB06736,DB00158
50,DB07402,DB00158
51,DB08991,DB00158
52,DB09213,DB00158
53,DB09216,DB00158
54,DB11466,DB00158
55,DB13286,DB00158
56,DB13470,DB00158
57,DB13499,DB00158
58,DB13638,DB00158
59,DB09212,DB00158
60,DB11512,DB00158
61,DB00182,DB00158
62,DB00296,DB00158
63,DB00312,DB00158
64,DB00319,DB00158
65,DB00323,DB00158
66,DB00327,DB00158
67,DB00333,DB00158
68,DB00341,DB00158
69,DB00415,DB00158
70,DB00418,DB00158
71,DB00437,DB00158
72,DB00501,DB00158
73,DB00598,DB00158
74,DB00608,DB00158
75,DB00624,DB00158
76,DB00775,DB00158
77,DB00780,DB00158
78,DB00790,DB00158
79,DB00800,DB00158
80,DB00851,DB00158
81,DB00853,DB00158
82,DB00915,DB00158
83,DB00995,DB00158
84,DB01011,DB00158
85,DB01036,DB00158
86,DB01105,DB00158
87,DB01137,DB00158
88,DB01148,DB00158
89,DB01169,DB00158
90,DB01183,DB00158
91,DB01215,DB00158
92,DB01261,DB00158
93,DB01267,DB00158
94,DB01367,DB00158
95,DB01427,DB00158
96,DB04574,DB00158
97,DB04896,DB00158
98,DB05541,DB00158
99,DB06335,DB00158
100,DB06695,DB00158
101,DB06824,DB00158
102,DB08877,DB00158
103,DB08910,DB00158
104,DB08911,DB00158
105,DB09071,DB00158
106,DB09075,DB00158
107,DB09091,DB00158
108,DB09104,DB00158
109,DB09135,DB00158
110,DB09185,DB00158
111,DB09395,DB00158
112,DB09418,DB00158
113,DB09502,DB00158
